6,8.27E+17, Tue Jan 31 22:24:07 +0000 2017,1.49E+12, tonight stephen quinn hosts the fentanyl fix forum live on @cbcradio730pm  900pm ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
27,8.27E+17, Wed Feb 01 03:09:37 +0000 2017,1.49E+12, cbcs forum on the fentanyl crisis will get underway shortly. ,  fentanyl,64013641, Providence_Hlth, providence health care is one of canadas largest faithbased health care organizations operating 17 sites in vancouver  bc canada.,0,0,1950, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2793: -123.115]}
31,8.27E+17, Wed Feb 01 03:13:35 +0000 2017,1.49E+12, tune in live now as stephen quinn hosts the fentanyl fix forum on cbc radio. 730  900pm @cbcvancouver ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
77,8.27E+17, Wed Feb 01 04:49:47 +0000 2017,1.49E+12, ive been telling folk  dont mess with that fentanyl. ,  fentanyl,1910840076, josephcphillips, actor  writer  lover of cooking and western films. unapologetic christian and a conservative. husband  father and dog lover. rts are not always agreement.,0,0,841, None, None
88,8.27E+17, Wed Feb 01 05:28:05 +0000 2017,1.49E+12, unprecedented 14year sentence for fentanyl dealer sends a strong message minister ,  fentanyl,18778315, AmberRobinson, vp  marketing communications @centreforchild. avid traveller who loves design  brand management  amazing cx  strong coffee  and laughing.,0,0,1231, Vancouver, None
104,8.27E+17, Wed Feb 01 07:06:24 +0000 2017,1.49E+12, hb612 new criminal law  distribution of heroin or fentanyl resulting in death ,  fentanyl,104718610, LegiScanMD, national public service for legislative tracking and data api both free and subscription offerings with advanced monitoring  research  and reporting tools.,0,0,1, Maryland: USA, {'type': 'Point': 'coordinates': [38.978862: -76.490685]}
125,8.27E+17, Wed Feb 01 09:58:09 +0000 2017,1.49E+12, vancouver fentanyl victim leaves sad legacy of two young boys ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
139,8.27E+17, Wed Feb 01 12:37:22 +0000 2017,1.49E+12, 5monthold babys death ruled a homicide parents died of fentanyl overdoses  ,  fentanyl,18367743, thriftymaven, l audace  iaudace toujours iaudace,0,0,2465, None, None
146,8.27E+17, Wed Feb 01 15:32:11 +0000 2017,1.49E+12, 5monthold babys death ruled a homicide parents died of fentanyl overdoses gtgt ,  fentanyl,74998364, SeattleCP, seattle city and press,0,0,11, Seattle: WA, {'type': 'Point': 'coordinates': [47.6054773: -122.33247834]}
150,8.27E+17, Wed Feb 01 15:43:10 +0000 2017,1.49E+12, suspected fentanyl overdoses   ,  fentanyl,2419468878, Barrie411, breaking news   traffic collisions   road closures and weather in real time as it happens for barrie and all of simcoe county   where local news matters,0,0,665, Barrie: Ontario, None
160,8.27E+17, Wed Feb 01 16:30:24 +0000 2017,1.49E+12, @bbcworldservice @bbc that dumb wall isnt going to stop cheap synthetic chinese fentanyl from killing ohioans or any other american.,  fentanyl,2485978387, CEScrogginsEsq, patient and advocate for patient access to caregivers.,0,0,269, Metrowest MA, None
250,8.27E+17, Thu Feb 02 00:28:09 +0000 2017,1.49E+12, the fentanyl fix terry lake says neither side of the drug debate should be stigmatized ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
254,8.27E+17, Thu Feb 02 00:45:05 +0000 2017,1.49E+12, alleged vancouver fentanyl kingpin sentenced to 14 years ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
290,8.27E+17, Thu Feb 02 02:42:35 +0000 2017,1.49E+12, @jennjacques @dailycaller doctors are prescribing fentanyl to folks with scoliosis as well.some of those recipients are re selling it,  fentanyl,4862029022, andygtants, metal polisher owned by a pug and a yorkie love everybody  love my tim hortons,0,0,383, columbus ohio, None
411,8.27E+17, Thu Feb 02 13:44:37 +0000 2017,1.49E+12, ineed6moreweeks to kick this habit. heroin  coke and fentanyl. then ill be fine. what could go wrong.,  fentanyl,14249393, clarkemtp, gif war  hashtag gaming intellectual. im funny. also awkward  tactless  self deprecating  adult humor.      cohost of the clark  heather show. ,0,0,885, Portland: TX, None
455,8.27E+17, Thu Feb 02 15:46:20 +0000 2017,1.49E+12, hb213 new crimes and offenses sale  manufacture  delivery  or possession of fentanyl within the prohibition of... ,  fentanyl,104721974, LegiScanGA, national public service for legislative tracking and data api both free and subscription offerings with advanced monitoring  research  and reporting tools.,0,0,1, Georgia: USA, {'type': 'Point': 'coordinates': [33.749035: -84.388195]}
457,8.27E+17, Thu Feb 02 15:46:57 +0000 2017,1.49E+12, vancouvers frontline fentanyl responders make the case for legalization in private meeting with trudeau ,  fentanyl,1639828028, LindsayLyster, labour and human rights lawyer  civil libertarian.  cook and gardener. winter sports fan.,0,0,2148, Sea to Sky corridor, None
13,8.40E+17, Fri Mar 10 01:36:24 +0000 2017,1.49E+12, @oreillyfactor death penalty for selling fentanyl stupid you want to punish chronic pain sufferers because junkies are dying treat them,  fentanyl,7.07E+17, dlhale310, concerns epilepsy  organ donation  peace  justice  progressive politics im the clown in the middle,0,0,1734, Spokane: WA, None
15,8.40E+17, Fri Mar 10 01:39:00 +0000 2017,1.49E+12, @oreillyfactor you might want to apologize for that comment  my wife is on fentanyl patches for pain because of as oreillyfactor,  fentanyl,430361134, aaronleewaters, husband father  christfollower constitutionalist prolife 2a trumppence2016 @fuzionfourrec @royals fan followed by @seanhannity @deneenborelli @danaperino,0,0,3538, Baldwin City: Ks, None
35,8.40E+17, Fri Mar 10 02:25:35 +0000 2017,1.49E+12, @oreillyfactor please do not speak of what you dont know  hospice patients with cancer die in agony without fentanyl.only drug that works,  fentanyl,41710269, pkfoley, retired rn married to marine always a marine gramma,0,0,81, Clermont: FL, None
81,8.40E+17, Fri Mar 10 03:02:48 +0000 2017,1.49E+12, i can no longer get through to him  it seems. xanax and fentanyl have take his soul from us,  fentanyl,36086449, based_georgie, it is better to be warrior in a garden than to be a gardener in a war,0,0,1588, Anaheim: CA, None
118,8.40E+17, Fri Mar 10 04:27:07 +0000 2017,1.49E+12, oreilly understand that when an opioid addict hears about a drug like fentanyl they want it even more bec its all about the ultimate high,  fentanyl,60668989, lonestartx1, grandmother,0,0,1697, Pennsylvania: USA, None
121,8.40E+17, Fri Mar 10 04:39:44 +0000 2017,1.49E+12, @oreillyfactor taking fentanyl is like taking cyanide well arent you quite the authority. and from what experience do you share that,  fentanyl,402102629, abbywaxenberg, employee benefits pro. dog lover. want smaller federal government. detroit  mi.,0,0,3337, None, None
383,8.40E+17, Fri Mar 10 22:11:26 +0000 2017,1.49E+12, its one thing to read a paper  its another to have a patient tell you their brother died last month from a fentanyl overdose. @drleanawen,  fentanyl,288955358, WilliamCherniak, er and family doc | globalpublichealth working with @nciglobalhealth l educator with @uscglobalmed,0,0,199, Washington: DC, None
405,8.40E+17, Fri Mar 10 23:33:05 +0000 2017,1.49E+12, the va gave my late husband the opioid fentanyl synthetic heroin.  his withdrawal was a bitch and ill hate them forever for his death.,  fentanyl,230859523, HarrietBaldwin, baldwin social media. commentator  constitutional conservative.  troublemaker for liberty   love my country. veterans. animal rescue.   lovefl,0,0,3109, ‰Û¡å_ USA , None
418,8.40E+17, Sat Mar 11 00:15:41 +0000 2017,1.49E+12, b.c. interior elders and chiefs declare state of emergency over fentanyl  we should declare war on fentanyl,  fentanyl,8.29E+17, Wardog63721789, none,0,0,112, None, None
466,8.40E+17, Sat Mar 11 02:14:26 +0000 2017,1.49E+12, b.c. interior elders and chiefs declare state of emergency over fentanyl ,  fentanyl,3181169221, andrewleeday, none,0,0,88, British Columbia: Canada, None
664,8.41E+17, Sat Mar 11 17:52:31 +0000 2017,1.49E+12, @tedlightbulb @kirktousaw @libbydavies @marcscottemery @cannabisculture yup and everything comes with bonus fentanyl,  fentanyl,94212251, VanSeedBank, dedicated to seed preservation and ending the war on drugs.,0,0,269, Vancouver: B.C. Canada, None
687,8.41E+17, Sat Mar 11 19:13:52 +0000 2017,1.49E+12, northwest florida mother mourns daughters fentanyl od through advocacy. @ocsoalerts @wcsofl  ,  fentanyl,323516141, bobheistNWFDN, executive editor  northwest florida daily news  contact me at bheist@nwfdailynews.com         come join us in paradise justbeachin,0,0,660, Fort Walton Beach: FL, None
787,8.41E+17, Sun Mar 12 00:18:36 +0000 2017,1.49E+12, @theeconomist america is not the only country losing this battle with fentanyl  opioids.canada is also being heavily affected.800overdoses,  fentanyl,1007994704, Steadygaininc, busdev networkoperator @alchemyemploy durhamregion nde survivor entrepreneur writer mc inventor mortgageagt globalactivist csr infra philanthropy,0,0,5001, Toronto/ Durham Region, None
882,8.41E+17, Sun Mar 12 06:45:21 +0000 2017,1.49E+12, volunteers save pregnant b.c. woman from fentanyl ... ,  fentanyl,7.57E+17, MaureenOleary10, im very busy with pet rescue  wild life social   and petitions instagram and sometimes facebook.,0,0,639, New Westminster: British Colum, None
956,8.41E+17, Sun Mar 12 16:38:41 +0000 2017,1.49E+12, the fentanyl ring pop. almost eliminates the horror of the cage ,  fentanyl,106613244, bloodytarp, i am theresistance ourrevolution uniteblue westandunited,0,0,1372, United States, None
959,8.41E+17, Sun Mar 12 16:49:28 +0000 2017,1.49E+12, all my grams got fentanyl in them,  fentanyl,948551742, tonka30030, i thank the lord cus i am blessed amg,0,0,1186, Married to a SCALE , None
973,8.41E+17, Sun Mar 12 17:53:50 +0000 2017,1.49E+12, states are losing the battle against deadly drugs like heroin and fentanyl. end this crisis now ,  fentanyl,4732338444, RyanForRecovery, advocate4change  person in long term recovery from substance use disorder  addictionxamerica  facingaddiction  changeagent  huffpo  views are my own,0,0,26548, Los Angeles: CA, None
1088,8.41E+17, Mon Mar 13 02:15:46 +0000 2017,1.49E+12, sherilyn fentanyl   drugastar ,  fentanyl,602566166, DaleAnne72, im only here for the fun  laughter my tweets are 18  most are made up. hashtaggames comedy justjokes 420somewhere @midnight top 10 x 1,0,0,1957, Canada, None
1128,8.41E+17, Mon Mar 13 04:44:06 +0000 2017,1.49E+12, @davidfrum i lost a close friend to a fentanyl overdose in oakville  and thats a rich area.,  fentanyl,10790572, JackCox, actorvoice actorwritercanadianamericancouch potatocinephileanimephileliberal  opinions are my own  rt not an endorsement  bluejays,0,0,2206, Toronto: Ontario: Canada, None
1151,8.41E+17, Mon Mar 13 06:08:59 +0000 2017,1.49E+12, this is because meth was a thing in small  rural communities like my hometown. now its fentanyl.,  fentanyl,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2020, Philadelphia: PA, None
1152,8.41E+17, Mon Mar 13 06:09:46 +0000 2017,1.49E+12, cw suicide both drugs give you i presume  ive had opiates on prescription but never fentanyl  just slight mood up a desire to live,  fentanyl,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2020, Philadelphia: PA, None
1154,8.41E+17, Mon Mar 13 06:10:18 +0000 2017,1.49E+12, additionally  from what i know about fentanyl and other opiates  theyre easier to take wihout letting everyone know about it.,  fentanyl,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2020, Philadelphia: PA, None
1247,8.41E+17, Mon Mar 13 15:40:29 +0000 2017,1.49E+12, three suspects being arraigned in brockton district court on fentanyl trafficking case ,  fentanyl,522593875, Enterprise_Marc, reporter for the enterprise of brockton.,0,0,1466, None, None
1397,8.41E+17, Mon Mar 13 22:47:22 +0000 2017,1.49E+12, alcoholawareness notice the politicians and media coverage of fentanyl and opioidsthe silence and hiding staggering alcohol harmno more,  fentanyl,405259565, fscarfe, none,0,0,9967, None, None
1696,8.42E+17, Tue Mar 14 15:23:16 +0000 2017,1.49E+12, its not just a west coast thing. opioid addiction  overdose from fentanyl or its analogues are growing concern in ,  fentanyl,18157112, topherseto, journalist  photographer  videographer  player of sports  music  lover of food  travel. reporter w@mercurytribune. story tips cseto@guelphmercurytribune.com,0,0,480, Guelph: Canada, None
1717,8.42E+17, Tue Mar 14 16:25:14 +0000 2017,1.49E+12, my patient is assuring me he will bring me wine and fentanyl patches tomorrow,  fentanyl,451077955, karat_mcguire, orange boy stole baby,0,0,241, None, None
1718,8.42E+17, Tue Mar 14 16:26:30 +0000 2017,1.49E+12, every bullshit drugs lie they taught you in highschool is true about fentanyl. wv cant keep up with the funerals  ,  fentanyl,418373028, ZANZALAZ, uf computer engineering. leftgeolibertarian politics  sports  econ and finance  news  some jokes on a good day. sufficiently woke.,0,0,525, (0:0:0) Center of the universe, None
1734,8.42E+17, Tue Mar 14 17:06:52 +0000 2017,1.49E+12, @nytimes god bless these parents losing 2 children 2overdoses. however  aticle didnt say what opioidmost likely heroin 0r illegal fentanyl,  fentanyl,3374426979, cshel0607, clinical psychotherapist  mom of 1 miracle  baby i had at 44 totally naturally  have to know the whole story love jesus good humor and positivity,0,0,87, Cape Girardeau: MO, None
1853,8.42E+17, Wed Mar 15 00:03:26 +0000 2017,1.49E+12, sentinel vs fentanyl.  ,  fentanyl,75473131, twisterbolt, i am a libra greek zodiac sign and a rooster chinese zodiac sign.the liberal party and republican party. october 17 1993 1 twitter users on twitter.  ,0,0,5001, Mississauga:Ontario, None
1936,8.42E+17, Wed Mar 15 03:09:28 +0000 2017,1.49E+12, drugmovies good fentanyls,  fentanyl,2309882507, uptnhrlmb, advocate  activist 4 the disenfranchised humorist raconteur nature  animal lover lgbtq teamgay love comedy justice freedom peace spca dignity,0,0,6664, New York: NY, None
32,8.42E+17, Wed Mar 15 17:44:51 +0000 2017,1.49E+12, and somehow  here i am  today  not drinking fentanyl or whatever @heathernorum,  fentanyl,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2022, Philadelphia: PA, None
78,8.42E+17, Wed Mar 15 19:26:38 +0000 2017,1.49E+12, sb539 engross criminal law  distribution of controlled dangerous substances  fentanyl ,  fentanyl,104718610, LegiScanMD, national public service for legislative tracking and data api both free and subscription offerings with advanced monitoring  research  and reporting tools.,0,0,1, Maryland: USA, {'coordinates': [38.978862: -76.490685]: 'type': 'Point'}
92,8.42E+17, Wed Mar 15 19:46:29 +0000 2017,1.49E+12, @lynnarditi see updated story. fentanyl included,  fentanyl,182447964, karenleez, providence journal reporter covering immigration  sexabuse  diversity. traintravel devotee. in bw at provnoir. tips kziner@providencejournal.com,0,0,1603, Providence: RI, None
104,8.42E+17, Wed Mar 15 20:34:29 +0000 2017,1.49E+12, legal heroin  zero fentanyl deaths  trudeau says think about the children.   great idea  he should try it sometime   fentanyl,  fentanyl,24639297, Bill_Owen, | political | cats | bikes | civil rights | tech | photography,0,0,3924, Ottawa, None
232,8.42E+17, Thu Mar 16 01:07:35 +0000 2017,1.49E+12, @realdonaldtrump you may as well put fentanyl in the hypo yourself and slam it for them. this could be your son.,  fentanyl,3165573825, CynicalEpidemic, none,0,0,36, Annapolis: MD, None
392,8.42E+17, Thu Mar 16 13:14:58 +0000 2017,1.49E+12, akron man sentenced to 5 years for fentanyl overdose death mans mother says he also is victim of heroin epidemic ,  fentanyl,18169582, ohiodotcom, the latest news from the akron beacon journal,0,0,314, Akron: OH, None
424,8.42E+17, Thu Mar 16 14:35:56 +0000 2017,1.49E+12, you got fentanyl in my heroin no  you got heroin in my fentanyl ,  fentanyl,42239401, Coganuts, i used to fly fish on tv...like ellipses and alliteration...cuddly  butt muscular...tweets by dan are signed dc lovelovelove,0,0,556, Chicago, None
457,8.42E+17, Thu Mar 16 16:08:36 +0000 2017,1.49E+12, excellent. on top of china promising us to crack down on their exports of fentanyl thru mexico to us amp canada  p ,  fentanyl,2533814352, RxProfessor, the overuse of pain medication is devastating to everyone involved. i am making a difference through education  action and leadership.,0,0,235, Atlanta: GA, None
491,8.42E+17, Thu Mar 16 17:04:27 +0000 2017,1.49E+12, u ever sshot fentanyl and tripped off ur ass  shit had me lost in my own brain .. why am i like  this who did this to me  ,  fentanyl,2150172150, HEAVIERBOMBING,  im not responsible or to be held accountable for anything i say or have said on here. just saying,0,0,535, NORTH PHILLY, None
564,8.42E+17, Thu Mar 16 20:39:21 +0000 2017,1.49E+12, heartbreaking story. coroner centerville pilot  wife deaths may be fentanyl related ,  fentanyl,199379082, belindakenley, happy fun loving businesswoman  centerville deputy mayor  wife  mother  friend  community volunteer.,0,0,983, Centerville: Oh, None
634,8.43E+17, Thu Mar 16 23:49:16 +0000 2017,1.49E+12, it would make more sense to save 12.4mil by shelving this project to spend on the fentanyl crises instead of raisi ,  fentanyl,474545533, jrchair, volunteer for junior golf and senior golf for the last 15 years via bcga zone 4,0,0,314, Vancouver, None
640,8.43E+17, Fri Mar 17 00:01:32 +0000 2017,1.49E+12, the reason so many are dying is due to polluted heroin. being legal helps prevent the synthetic  fentanylbased her ,  fentanyl,271887523, noahweingand, silence on my estate,0,0,211, None, None
684,8.43E+17, Fri Mar 17 01:28:30 +0000 2017,1.49E+12, @autisticzebra i dont know. i have been doing this wincreasing pain for over a decade. cant take nsaids  nearly died from fentanyl.,  fentanyl,373979469, TheHappyAspie, advocate. autistic. artist. photographer. mama. bunny nerd. currently on life 6 of 9...  instagram clevermort,0,0,1743, Twixt The Swamp & The Sea/RSW, None
725,8.43E+17, Fri Mar 17 02:56:00 +0000 2017,1.49E+12, victoria pharmacy finds fentanyl in 90 of street drugs tested  @cbcnews fentanyl,  fentanyl,21407876, SeanJMolloy, motivated by innovation  design and patient safety. tweets are my own. proud team member at @ocad and @stjoestoronto. medx evangelist.,0,0,1603, Toronto: Canada, None
773,8.43E+17, Fri Mar 17 05:16:03 +0000 2017,1.49E+12, and then youre googling the legal justification for not using fentanyl for capital punishment.     america you are fucked up.,  fentanyl,29304872, Joer14, coding  hardware  health  music and running  not in that order. another cis white dude,0,0,1605, Berkeley/Santa Cruz/Madison WI, None
818,8.43E+17, Fri Mar 17 07:16:40 +0000 2017,1.49E+12, heroin amp synthetic fentanyl are killing script pain meds play small bit in od deaths maybe one day real s will be ,  fentanyl,61305785, Delta33_1976, conservative veteran picture is my son matt  usmc i was us army  have 2 sons that were usmc national pain foundation  advocate  cyber investigationsresearch,0,0,383, CranberryTownship PA, None
852,8.43E+17, Fri Mar 17 11:54:17 +0000 2017,1.49E+12, treating addiction rootcause  fixing fentanyl means treating trauma that creates addicts ,  fentanyl,792655213, DrAmauriCare, dr.amauri caversan  b.sc.  n.d. is an avid explorer of life  addicted to knowledge  proactive health advocator and wellness. ,0,0,937, Toronto, None
943,8.43E+17, Fri Mar 17 17:13:24 +0000 2017,1.49E+12, .@marcorubio  ed markey take aim at international illicit fentanyl trade by @ssnalerts sayfie opiodcrisis ,  fentanyl,237481204, _EricCarr, @fmapac coordinator healthpolicy  @floridamedical hcsm  @floridastate  @jeffkottkamp  @flgovscott alum  proud hubby of @smb04d  rubiorepublican flapol,0,0,1048, Tallahassee: FL, None
1003,8.43E+17, Fri Mar 17 20:47:28 +0000 2017,1.49E+12, @mbebinger a recent lecture at @vchhealthcare stated that 70 ppl dont know theyre taking fentanyl,  fentanyl,814261, moritherapy, making lives better  making better lives ... for everyone ... mentalhealth professional haiku peace amwriting buddhism apologyaward,0,0,4880, vancouver: bc: canada, None
1016,8.43E+17, Fri Mar 17 21:18:01 +0000 2017,1.49E+12, @cbchealth alcoholawareness lack of awarenessmixing alcohol and opioids fentanyl and medscan be lethal,  fentanyl,405259565, fscarfe, none,0,0,10004, None, None
1024,8.43E+17, Fri Mar 17 21:43:37 +0000 2017,1.49E+12, .@franklincoroner reporting 43 suspected fentanyl related deaths between 2735 calling it unprecented. details coming up at 6 @nbc4i,  fentanyl,2370679285, courtyuen, reporter @nbc4i. chicago native  dogtravelcraftautumn lover  @illinoisalma alum. email cyuen@wcmh.com,0,0,949, Columbus: OH, None
1045,8.43E+17, Fri Mar 17 23:10:09 +0000 2017,1.49E+12, columbus  ohio has one fatal fentanyl overdose per day   the epidemic is horrible here in ohio.,  fentanyl,101086945, newpath60, unashamed  liberal battling cancer and still fighting for mother earth  animal rights  equal rights  free speech for all.  nobannowall womennoabuse resist,0,0,2126, Cincinnati: OH, None
1046,8.43E+17, Fri Mar 17 23:13:34 +0000 2017,1.49E+12, huge quantity of deadly fentanyl seized in south jersey ,  fentanyl,57976284, PhiladelphiaCP, breaking news and weather updates from philadelphia.,0,0,46, Philadelphia, {'coordinates': [39.93997834: -75.16645509]: 'type': 'Point'}
1088,8.43E+17, Sat Mar 18 01:20:13 +0000 2017,1.49E+12, the grim arithmetic in columbus  ohio one fatal fentanyl overdose a day in 2017  via @nbcnews,  fentanyl,2923448712, patdempsey58, live everyday as it was  your last,0,0,3947, dallas tx, None
