8,8.27E+17, Tue Jan 31 22:35:28 +0000 2017,1.49E+12, can we fast forward to a time where i dont have to count down til the next time i can take a vicodin,  vicodin,1112405984, marissahiler, on the pursuit of being  ajc ,0,0,549, None, None
21,8.27E+17, Wed Feb 01 02:57:08 +0000 2017,1.49E+12, @pittylovee too bad.  there are things you can try previcodin. although i do love me some vicodin,  vicodin,7.83E+17, ColombiaKids2, unlimited supply of useless information. sold by the bucket. only listens to bands with  at least  one dead member.,0,0,40, United States, None
48,8.27E+17, Wed Feb 01 03:42:47 +0000 2017,1.49E+12, sniffing vicodin in paris never felt so euphoric,  vicodin,328887311, cannedfetus, sleepiest girl in the world  lover of coffee  public forum debate  rabbits  games  and nathan  green river,0,0,301, pnw - w nathan, None
162,8.27E+17, Wed Feb 01 16:41:10 +0000 2017,1.49E+12, i need some mf vicodin,  vicodin,325207705, SarahDaBaddest_, employed makeup marijuana lurk awayyy  danilo antonio guerra jr. is the love of my life since 5.11.13,0,0,1054, OKAGA: CA , None
198,8.27E+17, Wed Feb 01 18:15:45 +0000 2017,1.49E+12, anyone have vicodin since my mom doesnt want to give the ones prescribed to me,  vicodin,559170450, broguydudebro, ,0,0,434, None, None
248,8.27E+17, Thu Feb 02 00:23:42 +0000 2017,1.49E+12, back absolutely killing me all day.  add vicodin and . what back dampcoldweather toomuchsitting toomuchfork,  vicodin,1431979934, WasserBliss, mom. wife. engineer. foodie. small business owner. blogger. i love to garden  cook and the tranquility of life in the gass.,0,0,337, Lehigh Valley: PA, None
257,8.27E+17, Thu Feb 02 01:04:43 +0000 2017,1.49E+12, is vicodin a legal tender,  vicodin,338414323, patrickdh69, went to hollywood  failed hard,0,0,527, California/Denial, None
286,8.27E+17, Thu Feb 02 02:36:31 +0000 2017,1.49E+12, sniffing vicodin in paris cashmere really is my life soundtrack rn,  vicodin,290032602, dwilmore_,32013,0,0,459, Reunite AP 12'-16', None
297,8.27E+17, Thu Feb 02 02:58:43 +0000 2017,1.49E+12, cant wait to start my strict vicodin and ice cream diet,  vicodin,17105199, SARAHGAMBITCH, i want to punch you,0,0,98, bay, None
469,8.27E+17, Thu Feb 02 16:19:07 +0000 2017,1.49E+12, @greeneyedtwin good morning. well its morning anyway.  i need motrin.  or vicodin. lookie lookie  i have vicoprof ,  vicodin,14249393, clarkemtp, gif war  hashtag gaming intellectual. im funny. also awkward  tactless  self deprecating  adult humor.      cohost of the clark  heather show. ,0,0,889, Portland: TX, None
30,8.40E+17, Fri Mar 10 02:13:32 +0000 2017,1.49E+12, @rickellis16 which was dumb. just take the damn vicodin,  vicodin,37613101, Citylife80, a mystery wrapped in an enigma smothered in a rich  creamy conundrum sauce. 49ersdodgerslakersferrari,0,0,225, In a hotel somewhere near you., None
120,8.40E+17, Fri Mar 10 04:35:29 +0000 2017,1.49E+12, i pop these percs wit vicodin,  vicodin,1388225509, BrandonCruzado1, tropical cc  | bba in marketing | snapchat brandongideon,0,0,232, None, None
178,8.40E+17, Fri Mar 10 10:02:58 +0000 2017,1.49E+12, that vicodin was supposed to knock me out,  vicodin,65210702, sonnynarco, energy,0,0,185, 1600 k-block : SLA, None
243,8.40E+17, Fri Mar 10 15:41:29 +0000 2017,1.49E+12, @claytoncargill @nflosophy toradol and vicodin arent powerful drugs,  vicodin,95975081, minakimes, senior writer @ espn the magazine,0,0,862, Los Angeles: CA, None
252,8.40E+17, Fri Mar 10 16:00:06 +0000 2017,1.49E+12, @johnproctordfs yep. took horse pills of vicodin for a while for back pain. breakfast lunch amp dinner. liver is roughly equal to james bonds,  vicodin,38068469, MGiraldi, i play fantasy sports. i write things. i drink beer. i tweet what i think. i also spend too much of my  in las vegas. not necessarily in order.,0,0,669, San Luis Obispo: California, None
265,8.40E+17, Fri Mar 10 16:34:37 +0000 2017,1.49E+12, i only trust in vicodin and hollow tips,  vicodin,2777290899, nickcalin_, bitches brew,0,0,195, Elevated, None
348,8.40E+17, Fri Mar 10 20:25:00 +0000 2017,1.49E+12, sniffin vicodin in paris never felt so euphoric,  vicodin,1370540694, MirandaParisot7, none,0,0,185, None, None
380,8.40E+17, Fri Mar 10 22:04:19 +0000 2017,1.49E+12, no more vicodin for this chick,  vicodin,2490744239, G_LyricalFajita, cancer sun  scorpio rising  intj ,0,0,46, Staten Island: NY, None
427,8.40E+17, Sat Mar 11 00:54:15 +0000 2017,1.49E+12, sean payton is trading away picks for vicodin. ,  vicodin,389298644, QualmesJr, slip like freudian,0,0,583, San Jose: CA, None
485,8.40E+17, Sat Mar 11 03:08:36 +0000 2017,1.49E+12, we could take vicodin at night bb,  vicodin,115585215, imalexmonroe, 56 savage lil bitch. verified asshole.                                            ig imalimonroe  thefamily,0,0,632, SEA/OC Beach Bound, None
488,8.40E+17, Sat Mar 11 03:16:38 +0000 2017,1.49E+12, ur old man sold me dese vicodins u mustve seen satan,  vicodin,72122875, Kenya_KayVaughn, music. makeup. ig x kenyakavone,0,0,369, ny:nc:la: im somewhere, None
559,8.40E+17, Sat Mar 11 06:08:30 +0000 2017,1.49E+12, no matter how much vicodin i take it wont cure my heart break @charliehutson1,  vicodin,223007178, shannonmaxcy, be who ya wanna be,0,0,308, Laguna Beach: CA, None
567,8.40E+17, Sat Mar 11 06:34:48 +0000 2017,1.49E+12, i cant move my arms without feelin like ive been shot and ive already taken vicodin,  vicodin,2945821246, Undebated, its a feelin in the air u bouta drop a real classic knickstape stayme7o gopackgo,0,0,145, Harrisburg: PA, None
579,8.40E+17, Sat Mar 11 08:19:17 +0000 2017,1.49E+12, within 6 hours of me leaving reno @aubsthomas broke her finger and is now on vicodin i can never leave again my aubie needs me,  vicodin,2999273380, HandKarly, university of nevada  reno ,0,0,583, None, None
