1,8.27E+17, Tue Jan 31 22:10:36 +0000 2017,1.49E+12, thefive should post a warning when juan is on so viewers have time you pop a xanax,  xanax,14385689, chasin_dwight, mother  grandmother  love new orleans saints football      lsu tigers.   registered independent,0,0,543, Louisiana: USA, None
18,8.27E+17, Wed Feb 01 02:53:02 +0000 2017,1.49E+12, @rosetvreviews eden is not even sober putting xanax in her smoothie. might as well just drink. joke fraud,  xanax,2440200116, jpsychic13, spiritual advisor at ,0,0,2404, USA / Global, None
20,8.27E+17, Wed Feb 01 02:54:58 +0000 2017,1.49E+12, @brandiglanville @kimrichards11 eden is not even sober shes on xanax. joke fraud,  xanax,2440200116, jpsychic13, spiritual advisor at ,0,0,2404, USA / Global, None
30,8.27E+17, Wed Feb 01 03:11:57 +0000 2017,1.49E+12, does xanax once ,  xanax,272772916, CalebT81, whatever you are be a good one,0,0,318, Starkville: MS, None
34,8.27E+17, Wed Feb 01 03:19:35 +0000 2017,1.49E+12, @quinnr88 lmao you think the right thing to do is post that on twitter smh go pop another xanax,  xanax,785821322, jemmawaddell_, touring the world as your fav merch girl,0,0,206, nirvana, None
38,8.27E+17, Wed Feb 01 03:27:45 +0000 2017,1.49E+12, if you pop xanax for fun youre a crackhead,  xanax,2969981834, itsrileycatt, none,0,0,627, tay, None
40,8.27E+17, Wed Feb 01 03:28:16 +0000 2017,1.49E+12, @allcelebpolls @doritkemsley1 @sasseden @lisarinna @lisavanderpump right because shes soberright no you cant do xanax and be sober,  xanax,7.01E+17, traci_wicker, none,0,0,349, None, None
41,8.27E+17, Wed Feb 01 03:28:38 +0000 2017,1.49E+12, im gonna take a xanax and turn off the fucking news. love you bastard people. ,  xanax,15585926, mariodiaz, actor  event producer  chicken choker   mariodiazpresents                                            instagram mariodiazlovesyou,0,0,626, Los Angeles: CA, None
49,8.27E+17, Wed Feb 01 03:43:22 +0000 2017,1.49E+12, @edensassoonfans @christyreports @sasseden @thomasorlina @akagoldenboy how can you say your sober and take xanax,  xanax,7.01E+17, traci_wicker, none,0,0,349, None, None
50,8.27E+17, Wed Feb 01 03:43:41 +0000 2017,1.49E+12, @katiegirl29 read her blog and her excuses for taking xanax which is highly addictive. plus she said it on camera.,  xanax,198878889, Wildchildwendy, lover of music and great friends that are also loyal. pulp culture and true crime freak passionate about my views  but fair.,0,0,1562, Florida, None
52,8.27E+17, Wed Feb 01 03:52:10 +0000 2017,1.49E+12, @katiegirl29 no  not you a hypocrite. i meant eden as shes on kim but using xanax. @sasseden,  xanax,198878889, Wildchildwendy, lover of music and great friends that are also loyal. pulp culture and true crime freak passionate about my views  but fair.,0,0,1562, Florida, None
54,8.27E+17, Wed Feb 01 04:11:54 +0000 2017,1.49E+12, when the family you baby sit for gives you a xanax when they get home bc they know the kids wild and shit ,  xanax,4196164395, macylovesyaa, taurus lord  let my glo up be physical  financial  mental  spiritual. let it confuse  terrify  astound all who are against me. amen,0,0,537, Lakeland: FL, None
67,8.27E+17, Wed Feb 01 04:30:18 +0000 2017,1.49E+12, off 12 xanax nd a 40 oz ,  xanax,3241358794, GERMJEEZUS, certified loser,0,0,213, HOMELESS, None
69,8.27E+17, Wed Feb 01 04:34:48 +0000 2017,1.49E+12, i think eden is officially on a different planet amp should stay therewith her xanax smoothies amp crystals. rhobh,  xanax,23819416, taylor_justy, whatever  im getting cheese fries,0,0,454, Los Angeles, None
76,8.27E+17, Wed Feb 01 04:47:58 +0000 2017,1.49E+12, somebody please slip sassloon a xanax. sooverher sheneedstogo @rhobh @bravotv,  xanax,15870381, herrfunke, originally from germany  lived in nyc for 12 years and now in sf. love travel  design  fashion  food  wine. never cease to explore  learn. stay curious,0,0,483, San Francisco, None
80,8.27E+17, Wed Feb 01 04:54:23 +0000 2017,1.49E+12, @kimrichards11 she thinks shes deep kim shes on xanax so shes deep all right,  xanax,7.01E+17, traci_wicker, none,0,0,352, None, None
82,8.27E+17, Wed Feb 01 05:00:08 +0000 2017,1.49E+12, how much xanax is too much xanax   goodnight,  xanax,7.33E+17, maciejenae,  dont wanna be an american idiot,0,0,338, Los Angeles: CA, None
84,8.27E+17, Wed Feb 01 05:02:42 +0000 2017,1.49E+12, lil spurts of xanax,  xanax,874286808, THATNIGGAGERON, th aqurius wh hte th du bt lv th nmb ,0,0,348, Universe ~, None
92,8.27E+17, Wed Feb 01 05:37:03 +0000 2017,1.49E+12, damn lane  this video would really inspire me to go play football for you at fau. looking like you took xanax. ,  xanax,291940021, GETWITTEDSPORTS, the name is glass  cofounder and host of get witted sports   place where you can get your sports the way you want it.,0,0,416, Location:  The Chi, None
95,8.27E+17, Wed Feb 01 05:46:38 +0000 2017,1.49E+12, apparently i fucked up my ketamine treatment yesterday by taking xanax afterwards fml this happy shit is so difficult,  xanax,46449248, infinite_daze, just floating along on a neutral  disengaged cloud of whatever,0,0,345, Brooklyn: NY, None
99,8.27E+17, Wed Feb 01 06:11:57 +0000 2017,1.49E+12, caller is having xanax withdraws because her doctor cut her off  shes been agitated all day  wants to go to the hospital to get checked out,  xanax,1416683976, MeanStreetsOMA, couch transcriber. death  destruction  and funny stuff from the streets of omaha. livetweeting policefire. text news tips and death threats to 4028197610.,0,0,402, Omaha: NE, None
106,8.27E+17, Wed Feb 01 07:09:10 +0000 2017,1.49E+12, @clonazepam3000 is it ironic if my moms the one who gives me xanax,  xanax,732223568, ChefEgore, you must not lose faith in humanity. humanity is an ocean if a few drops of the ocean are dirty  the ocean does not become dirty.,0,0,165, New York: USA, None
