Territory,State Name,State Abbreviation,State Code,County Name,City Code,County Code
U,ALABAMA,AL,01,ABBEVILLE,0010,067
U,ALABAMA,AL,01,ALBERTVILLE,0050,095
U,ALABAMA,AL,01,ALEXANDER CITY,0060,123
U,ALABAMA,AL,01,ANDALUSIA,0090,039
U,ALABAMA,AL,01,ANDERSON,0096,077
U,ALABAMA,AL,01,ANNISTON,0100,015
U,ALABAMA,AL,01,ANNISTON ARMY DEPOT,0101,015
U,ALABAMA,AL,01,ANSLEY,0103,109
U,ALABAMA,AL,01,ARAB,0110,095
U,ALABAMA,AL,01,ARDMORE,0120,083
U,ALABAMA,AL,01,ARGO,0127,073
U,ALABAMA,AL,01,ARITON,0130,045
U,ALABAMA,AL,01,ARLEY,0134,133
U,ALABAMA,AL,01,ARLINGTON,0135,131
U,ALABAMA,AL,01,ARMSTRONG,0137,087
U,ALABAMA,AL,01,ASHFORD,0140,069
U,ALABAMA,AL,01,ASHLAND,0150,027
U,ALABAMA,AL,01,ASHVILLE,0160,115
U,ALABAMA,AL,01,ATHENS,0170,083
U,ALABAMA,AL,01,ATMORE,0180,053
U,ALABAMA,AL,01,ATTALLA,0190,055
U,ALABAMA,AL,01,AUBURN,0200,081
U,ALABAMA,AL,01,AUTAUGA,,001
U,ALABAMA,AL,01,AUTAUGAVILLE,0220,001
U,ALABAMA,AL,01,AVON,0221,069
U,ALABAMA,AL,01,AXIS,0223,097
U,ALABAMA,AL,01,BABBIE,0225,039
U,ALABAMA,AL,01,BAILEYTON,0224,043
U,ALABAMA,AL,01,BAKER HILL,0227,005
U,ALABAMA,AL,01,BALDWIN,,003
U,ALABAMA,AL,01,BANKS,0230,109
U,ALABAMA,AL,01,BANKSTON,0234,057
U,ALABAMA,AL,01,BARBOUR,,005
U,ALABAMA,AL,01,BARLOW BEND,0236,025
U,ALABAMA,AL,01,BAY MINETTE,0240,003
U,ALABAMA,AL,01,BAY VIEW,0260,073
U,ALABAMA,AL,01,BAYOU LA BATRE,0250,097
U,ALABAMA,AL,01,BEAR CREEK,0270,093
U,ALABAMA,AL,01,BEATRICE,0280,099
U,ALABAMA,AL,01,BEAVERTON,0290,075
U,ALABAMA,AL,01,BELK,0294,057
U,ALABAMA,AL,01,BELLAMY,0295,119
U,ALABAMA,AL,01,BELLE MINA,0297,083
U,ALABAMA,AL,01,BELLWOOD,0300,061
U,ALABAMA,AL,01,BENTON,0315,085
U,ALABAMA,AL,01,BERRY,0320,057
U,ALABAMA,AL,01,BESSEMER,0330,073
U,ALABAMA,AL,01,BEXAR,0335,093
U,ALABAMA,AL,01,BIBB,,007
U,ALABAMA,AL,01,BIGBEE,0337,129
U,ALABAMA,AL,01,BILLINGSLEY,0340,001
U,ALABAMA,AL,01,BIRMINGHAM,0350,073
U,ALABAMA,AL,01,BIRMINGHAM,0350,117
U,ALABAMA,AL,01,BLACK,0360,061
U,ALABAMA,AL,01,BLADON SPRINGS,0365,023
U,ALABAMA,AL,01,BLOUNT,,009
U,ALABAMA,AL,01,BLOUNTSVILLE,0370,009
U,ALABAMA,AL,01,BLUE MOUNTAIN,0380,015
U,ALABAMA,AL,01,BLUE SPRINGS,0390,005
U,ALABAMA,AL,01,BLUFF PARK,0395,073
U,ALABAMA,AL,01,BOAZ,0400,055
U,ALABAMA,AL,01,BOAZ,0400,095
U,ALABAMA,AL,01,BOLIGEE,0410,063
U,ALABAMA,AL,01,BOLINGER,0412,023
U,ALABAMA,AL,01,BOLLING,0411,013
U,ALABAMA,AL,01,BON AIR,0420,121
U,ALABAMA,AL,01,BON SECOUR,0423,003
U,ALABAMA,AL,01,BOOTH,0425,001
U,ALABAMA,AL,01,BORDEN SPRINGS,0430,029
U,ALABAMA,AL,01,BOYKIN,0433,131
U,ALABAMA,AL,01,BOYLSTON,0435,101
U,ALABAMA,AL,01,BRADFORD,0440,037
U,ALABAMA,AL,01,BRANCHVILLE,0445,115
U,ALABAMA,AL,01,BRANTLEY,0450,041
U,ALABAMA,AL,01,BREMEN,0455,043
U,ALABAMA,AL,01,BRENT,0460,007
U,ALABAMA,AL,01,BREWTON,0470,053
U,ALABAMA,AL,01,BRIDGEPORT,0480,071
U,ALABAMA,AL,01,BRIERFIELD,0482,007
U,ALABAMA,AL,01,BRIGHTON,0490,073
U,ALABAMA,AL,01,BRILLIANT,0492,093
U,ALABAMA,AL,01,BROOKLEY AFB,0498,097
U,ALABAMA,AL,01,BROOKLYN,0502,035
U,ALABAMA,AL,01,BROOKSIDE,0500,073
U,ALABAMA,AL,01,BROOKWOOD,0505,125
U,ALABAMA,AL,01,BROWNS,0507,047
U,ALABAMA,AL,01,BROWNSBORO,0508,089
U,ALABAMA,AL,01,BROWNVILLE,0506,073
U,ALABAMA,AL,01,BROWNVILLE,0506,125
U,ALABAMA,AL,01,BRUNDIDGE,0510,109
U,ALABAMA,AL,01,BRYANT,0515,071
U,ALABAMA,AL,01,BUCKS,0517,097
U,ALABAMA,AL,01,BUHL,0518,125
U,ALABAMA,AL,01,BULLOCK,,011
U,ALABAMA,AL,01,BURKVILLE,0522,085
U,ALABAMA,AL,01,BURNT CORN,0519,099
U,ALABAMA,AL,01,BURNWELL,0521,127
U,ALABAMA,AL,01,BUTLER,0520,023
U,ALABAMA,AL,01,BUTLER,,013
U,ALABAMA,AL,01,BYNUM,0525,015
U,ALABAMA,AL,01,CAHABA HEIGHTS,0529,073
U,ALABAMA,AL,01,CALERA,0530,117
U,ALABAMA,AL,01,CALHOUN,,015
U,ALABAMA,AL,01,CALHOUN,0534,085
U,ALABAMA,AL,01,CALVERT,0538,129
