s1,s2,Tweet_Id,Created_At,Timestamp_ms,Text,Keyword,User_Id,Screen_name,Description,Retweet_cnt,Favorite_count,Friend_cnt,Location,Geo
0,1,8.27E+17, Tue Jan 31 22:10:36 +0000 2017,1.4859E+12, thefive should post a warning when juan is on so viewers have time you pop a xanax,  xanax,14385689, chasin_dwight, mother  grandmother  love new orleans saints football      lsu tigers.   registered independent,0,0,543, Louisiana: USA, None
3,4,8.27E+17, Tue Jan 31 22:17:49 +0000 2017,1.4859E+12, shameful...... kaleo hikes price of opioid overdose antidote evzio from 690 to 4 500 via @forbes ,  opioid,27812851, erinbrown28, 46 year old husband and father. er rn. bsnmsn student at stevenson university. trying to be a runner and cyclist. politically independent  in the middle.,0,0,557, Joppa: Maryland, None
5,6,8.27E+17, Tue Jan 31 22:24:07 +0000 2017,1.4859E+12, tonight stephen quinn hosts the fentanyl fix forum live on @cbcradio730pm  900pm ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
11,12,8.27E+17, Tue Jan 31 22:46:06 +0000 2017,1.4859E+12, so to these hydros for real doeee,  hydros,419757847, king_julian15, laugh with many  but dont trust any2pac  91baby ,0,0,292, ORANGE COUNTY: CALIFORNIA, None
13,14,8.27E+17, Tue Jan 31 22:51:29 +0000 2017,1.4859E+12, man convicted of selling heroin in a protected area in dubuque  ,  heroin,67374305, TelegraphHerald, welcome to the telegraph herald twitter page. the th is the no. 1 provider of news in the tristate area via its print and online products.,0,0,333, Dubuque: Iowa, None
16,17,8.27E+17, Wed Feb 01 02:53:02 +0000 2017,1.48592E+12, i need some strong ibuprofen or tremadollllllllsssss asap ,  ibuprofen,2922995299, kbellllll, arg 20. sckarisarenee,0,0,356, San Antonio: TX, None
18,19,8.27E+17, Wed Feb 01 02:54:03 +0000 2017,1.48592E+12, i need to know if hershey is secretly putting cocaine or opiates in the reeses eggs,  opiate,434672901, ChoodKSU2015, gentleman. party animal. friend to most. cheers,0,0,342, Mission: KS, None
25,26,8.27E+17, Wed Feb 01 03:03:21 +0000 2017,1.48592E+12, give me a hit of amnesia so that i can forget that i need ya. give me morphine to make it much easier.,  morphine,64756279, laurynhaleighc, im a mom and dont even have kids yet,0,0,568, Orchard Park: NY, None
26,27,8.27E+17, Wed Feb 01 03:09:37 +0000 2017,1.48592E+12, cbcs forum on the fentanyl crisis will get underway shortly. ,  fentanyl,64013641, Providence_Hlth, providence health care is one of canadas largest faithbased health care organizations operating 17 sites in vancouver  bc canada.,0,0,1950, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2793: -123.115]}
27,28,8.27E+17, Wed Feb 01 03:10:27 +0000 2017,1.48592E+12, i see a tylenol headache in this music teachers near future but it will sound like music in no time.  wjmproud ,  tylenol,2617401294, WJMitchellES, this is the official twitter page of wmes.  all tweets and retweets by principal sabrina robinsontaylor. we are wjmproud,0,0,346, La Plata: MD, None
29,30,8.27E+17, Wed Feb 01 03:11:57 +0000 2017,1.48592E+12, does xanax once ,  xanax,272772916, CalebT81, whatever you are be a good one,0,0,318, Starkville: MS, None
30,31,8.27E+17, Wed Feb 01 03:13:35 +0000 2017,1.48592E+12, tune in live now as stephen quinn hosts the fentanyl fix forum on cbc radio. 730  900pm @cbcvancouver ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
32,33,8.27E+17, Wed Feb 01 03:17:09 +0000 2017,1.48592E+12, make antidotes to narcotics and pharma for old folks expensive to cull the herd of junkiesold people ,  narcotic,223009099, bucwaas, nephrologist. super bullish on people and humanity. bearish on corrupt exploitive institutions,0,0,627, Texas: USA, None
40,41,8.27E+17, Wed Feb 01 03:28:38 +0000 2017,1.48592E+12, im gonna take a xanax and turn off the fucking news. love you bastard people. ,  xanax,15585926, mariodiaz, actor  event producer  chicken choker   mariodiazpresents                                            instagram mariodiazlovesyou,0,0,626, Los Angeles: CA, None
42,43,8.27E+17, Wed Feb 01 03:30:55 +0000 2017,1.48592E+12, ever clear totally were mostly all addicted to heroin. hello.,  heroin,7.80E+17, MUV4BEE, i dont know how many years on this earth i got left.. im gonna get real weird with it.    follow my instagram muvae4rth,0,0,43, California: USA, None
44,45,8.27E+17, Wed Feb 01 03:37:53 +0000 2017,1.48592E+12, if you ever leave me  baby  leave some morphine at my door cause it would take a whole lot of medication,  morphine,250321906, 3ziz_alkanderi, my life is my story fashion travel snapaz.alkanderi dont believe me just watch business  inquiries az.alkanderi@hotmail.com,0,0,691, California: USA, None
53,54,8.27E+17, Wed Feb 01 04:11:54 +0000 2017,1.48592E+12, when the family you baby sit for gives you a xanax when they get home bc they know the kids wild and shit ,  xanax,4196164395, macylovesyaa, taurus lord  let my glo up be physical  financial  mental  spiritual. let it confuse  terrify  astound all who are against me. amen,0,0,537, Lakeland: FL, None
58,59,8.27E+17, Wed Feb 01 04:18:44 +0000 2017,1.48592E+12, told my brother to bring me ibuprofen amp he bring me the childs oral one thats bubbled gum flavored im not 7,  ibuprofen,1155725203, ara_venegas, knowledge is power june2 2017,0,0,217, Texas: USA, None
62,63,8.27E+17, Wed Feb 01 04:23:02 +0000 2017,1.48592E+12, @powerelement dude seattle is a basket case place. it has a horrendous homelessness amp heroin problem. along with everything else. so gross,  heroin,107517156, ShawnLivingLife, born in ky  living in wa. not just living for time  but for eternity. i love god  my church  my country   people. nonhyphenated proud conservative american,0,0,932, Graham: WA, None
64,65,8.27E+17, Wed Feb 01 04:25:17 +0000 2017,1.48592E+12, need a better emotional nuclear weapon than heroin.  suggestions,  heroin,19354053, dirtysheer, unsuccessfully pulling himself together for the sake of the audience since 2005.,0,0,650, Cleveland: OH, None
65,66,8.27E+17, Wed Feb 01 04:25:21 +0000 2017,1.48592E+12, as opioid deaths rise  pharma firm hikes price of antidote more than sixfold  via @phillyhealthsci,  opioid,17437733, jchyip, agile coach at spotify nyc  exthoughtworks  excruisecontrol,0,0,3078, New York: NY, None
74,75,8.27E+17, Wed Feb 01 04:47:25 +0000 2017,1.48592E+12, could rampant opioid abuse be solved with ... more weed ,  opioid,302818574, CultOfAngelique, responsible cannabisuser. mother. very random most times. and totally unconventional,0,0,2187, Stockton: CA, None
81,82,8.27E+17, Wed Feb 01 05:00:08 +0000 2017,1.48593E+12, how much xanax is too much xanax   goodnight,  xanax,7.33E+17, maciejenae,  dont wanna be an american idiot,0,0,338, Los Angeles: CA, None
