id1	rate	id
16079	0	16079
40135	0	40135
16073	0	16073
16071	0	16071
16077	0	16077
16075	0	16075
48093	0	48093
6115	0	06115
6111	11	06111
6113	5	06113
1129	0	01129
48507	0	48507
46111	0	46111
40145	0	40145
2100	0	02100
2105	0	02105
40147	0	40147
19159	0	19159
39109	1	39109
19155	0	19155
39105	0	39105
19157	0	19157
39107	4	39107
19151	0	19151
39101	2	39101
19153	9	19153
39103	3	39103
72071	0	72071
40029	0	40029
40143	6	40143
48025	0	48025
22009	0	22009
1121	1	01121
22001	0	22001
22003	0	22003
22005	1	22005
13029	0	13029
22007	0	22007
6029	34	06029
6021	0	06021
40023	0	40023
46135	1	46135
6025	0	06025
6027	0	06027
72027	0	72027
27173	0	27173
27171	0	27171
51600	0	51600
33013	0	33013
21101	1	21101
21103	0	21103
21105	0	21105
21107	0	21107
21109	0	21109
32013	0	32013
32011	0	32011
51840	0	51840
32017	0	32017
32015	0	32015
47081	0	47081
32019	0	32019
26157	0	26157
42055	7	42055
26155	0	26155
42057	0	42057
12019	4	12019
42051	2	42051
26151	0	26151
42053	0	42053
12015	0	12015
12017	0	12017
12011	16	12011
42059	0	42059
12013	0	12013
51115	0	51115
46009	0	46009
55109	0	55109
51111	0	51111
51113	0	51113
46003	0	46003
46007	0	46007
46005	0	46005
17031	143	17031
17033	0	17033
17035	1	17035
17037	1	17037
5137	0	05137
5135	0	05135
5133	0	05133
5131	0	05131
72073	0	72073
46117	0	46117
54027	0	54027
12129	0	12129
5003	0	05003
26021	0	26021
5001	0	05001
26027	0	26027
5007	1	05007
26025	0	26025
5005	0	05005
12121	0	12121
53025	1	53025
5009	0	05009
12125	1	12125
12127	7	12127
48261	0	48261
1025	0	01025
1027	0	01027
1021	0	01021
1023	0	01023
1029	0	01029
72029	0	72029
37009	0	37009
37007	0	37007
37005	1	37005
37003	0	37003
37001	2	37001
33019	0	33019
48367	4	48367
42129	4	42129
48237	0	48237
42125	5	42125
36021	0	36021
36027	6	36027
36025	0	36025
48091	0	48091
48235	0	48235
72103	0	72103
48233	0	48233
51065	0	51065
48149	1	48149
48419	0	48419
48145	84	48145
48147	1	48147
48141	10	48141
48143	2	48143
1111	0	01111
1113	0	01113
1115	0	01115
1117	1	01117
1119	0	01119
45061	0	45061
45063	4	45063
45065	0	45065
45067	0	45067
13053	0	13053
13051	7	13051
13057	3	13057
13055	0	13055
48231	0	48231
72105	0	72105
1045	0	01045
28001	0	28001
37177	0	37177
37175	0	37175
37173	0	37173
37171	0	37171
37179	0	37179
8053	0	08053
8051	0	08051
8057	0	08057
8055	0	08055
8059	0	08059
54089	0	54089
31129	0	31129
31127	3	31127
31125	0	31125
31123	0	31123
31121	0	31121
18149	0	18149
54085	0	54085
37125	0	37125
18141	2	18141
18143	1	18143
18145	0	18145
18147	0	18147
72085	0	72085
37127	0	37127
37121	0	37121
29109	0	29109
46011	0	46011
5093	0	05093
72129	0	72129
29101	0	29101
29103	0	29103
37123	0	37123
29105	0	29105
29107	0	29107
72109	0	72109
19181	0	19181
55111	0	55111
55113	0	55113
55115	0	55115
55117	0	55117
48303	4	48303
55119	0	55119
34041	0	34041
46013	0	46013
48301	0	48301
48307	0	48307
51161	0	51161
54081	0	54081
48305	0	48305
47035	0	47035
47037	0	47037
47031	0	47031
47033	0	47033
2130	0	02130
6107	3	06107
6105	0	06105
47039	0	47039
6103	0	06103
6101	0	06101
46137	0	46137
55029	0	55029
19149	0	19149
55025	17	55025
19147	0	19147
39173	4	39173
19145	0	19145
55021	1	55021
19143	0	19143
55023	0	55023
19141	0	19141
72033	0	72033
54083	0	54083
19185	0	19185
40141	0	40141
22019	0	22019
22013	0	22013
22011	0	22011
22017	3	22017
22015	3	22015
46129	0	46129
6039	3	06039
6033	0	06033
6031	3	06031
6037	290	06037
6035	0	06035
39005	2	39005
16065	0	16065
27141	0	27141
16067	0	16067
27147	0	27147
16061	0	16061
27145	0	27145
16063	0	16063
51510	0	51510
27149	0	27149
51530	0	51530
39009	5	39009
16069	0	16069
72035	0	72035
21113	0	21113
21111	60	21111
21117	2	21117
21115	0	21115
48447	0	48447
21119	0	21119
56045	0	56045
32009	0	32009
32005	0	32005
32007	0	32007
32001	0	32001
32003	58	32003
42021	9	42021
26141	0	26141
42023	0	42023
26143	0	26143
42025	1	42025
26145	1	26145
42027	5	42027
12009	32	12009
42029	5	42029
12007	0	12007
12005	4	12005
12003	1	12003
12001	9	12001
51107	7	51107
51105	0	51105
51103	0	51103
19171	0	19171
72037	0	72037
51109	0	51109
5109	0	05109
5103	0	05103
5101	0	05101
5107	0	05107
5105	0	05105
13289	0	13289
13287	0	13287
51127	0	51127
13285	0	13285
13283	1	13283
13281	0	13281
30061	0	30061
48219	0	48219
48127	0	48127
53039	0	53039
29155	0	29155
26039	0	26039
5039	0	05039
49047	0	49047
5037	0	05037
12133	0	12133
5035	0	05035
12131	2	12131
5033	0	05033
53035	5	53035
5031	2	05031
26033	0	26033
49045	0	49045
48229	0	48229
20089	0	20089
20087	0	20087
20085	0	20085
30067	0	30067
20083	0	20083
48223	1	48223
46091	0	46091
1051	0	01051
1053	1	01053
1055	0	01055
1057	0	01057
30069	0	30069
1059	0	01059
46093	0	46093
36017	0	36017
37019	0	37019
13199	0	13199
36013	3	36013
36011	0	36011
13193	0	13193
37011	0	37011
13191	0	13191
37013	0	37013
13197	0	13197
37015	0	37015
13195	0	13195
37017	0	37017
48311	0	48311
48313	0	48313
48315	0	48315
6023	2	06023
48317	0	48317
48319	0	48319
48139	3	48139
48429	0	48429
48423	1	48423
48133	0	48133
48135	0	48135
48137	0	48137
47175	0	47175
13067	0	13067
36075	0	36075
13065	0	13065
13063	0	13063
55011	0	55011
13061	0	13061
47177	0	47177
47069	0	47069
13069	0	13069
13265	0	13265
13267	1	13267
13261	6	13261
13263	0	13263
72097	0	72097
45091	2	45091
45089	0	45089
40089	0	40089
48047	0	48047
48217	0	48217
48041	15	48041
48043	0	48043
40081	0	40081
26153	0	26153
40083	0	40083
48049	1	48049
40087	1	40087
20065	0	20065
37161	0	37161
20067	0	20067
37163	0	37163
20061	0	20061
37165	0	37165
20063	0	20063
37167	0	37167
36079	2	36079
20069	0	20069
48351	0	48351
72095	0	72095
8069	8	08069
8067	3	08067
8065	0	08065
45081	1	45081
8063	0	08063
8061	0	08061
31119	0	31119
31113	0	31113
40065	0	40065
31111	0	31111
31117	0	31117
31115	0	31115
48211	0	48211
8085	0	08085
8087	0	08087
18159	0	18159
8081	0	08081
26159	0	26159
8083	0	08083
18153	0	18153
18151	0	18151
8089	0	08089
18157	2	18157
18155	0	18155
19191	0	19191
51117	0	51117
72139	0	72139
29119	0	29119
29113	5	29113
29111	0	29111
29117	0	29117
29115	0	29115
51033	0	51033
27039	0	27039
42133	6	42133
19101	0	19101
54059	0	54059
55065	0	55065
51037	0	51037
55103	0	55103
40021	0	40021
55101	1	55101
55107	1	55107
55105	1	55105
51119	0	51119
51035	0	51035
72091	0	72091
55069	0	55069
48055	0	48055
48363	0	48363
38059	0	38059
2122	0	02122
47025	0	47025
47023	0	47023
47021	0	47021
47029	1	47029
29199	0	29199
5139	0	05139
19179	0	19179
39169	1	39169
17039	0	17039
19173	0	19173
39163	0	39163
51041	27	51041
39161	0	39161
51047	1	51047
39167	1	39167
19175	0	19175
39165	93	39165
22027	0	22027
