code,state,Count,Population
AK,Alaska,3,741894
AL,Alabama,49,4863300
AR,Arkansas,20,2988248
AZ,Arizona,111,6931071
CA,California,889,39250017
CO,Colorado,114,5540545
CT,Connecticut,45,3576452
DE,Delaware,7,952065
FL,Florida,314,20612439
GA,Georgia,230,10310371
HI,Hawaii,0,1428557
IA,Iowa,41,3134693
ID,Idaho,7,1683140
IL,Illinois,225,12801539
IN,Indiana,149,6633053
KS,Kansas,30,2907289
KY,Kentucky,102,4436974
LA,Louisiana,79,4681666
MA,Massachusetts,208,6811779
MD,Maryland,145,6016447
ME,Maine,16,1331479
MI,Michigan,151,9928300
MN,Minnesota,67,5519952
MO,Missouri,126,6093000
MS,Mississippi,36,2988726
MT,Montana,15,1042520
NC,North Carolina,135,10146788
ND,North Dakota,11,757952
NE,Nebraska,31,1907116
NH,New Hampshire,18,1334795
NJ,New Jersey,106,8944469
NM,New Mexico,21,2081015
NV,Nevada,67,2940058
NY,New York,558,19745289
OH,Ohio,351,11614373
OK,Oklahoma,50,3923561
OR,Oregon,528,4093465
PA,Pennsylvania,310,12784227
RI,Rhode Island,25,1056426
SC,South Carolina,67,4961119
SD,South Dakota,9,865454
TN,Tennessee,160,6651194
TX,Texas,596,27862596
UT,Utah,43,3051217
VA,Virginia,122,8411808
VT,Vermont,15,624594
WA,Washington,223,7288000
WI,Wisconsin,121,5778708
WV,West Virginia,40,1831102
WY,Wyoming,0,585501
DC,Washington D.C.,129,672228
